Store,RR State,Store Format,Store Name,City,Timing
3007,Rajasthan,FRESH,VaishaliNagar,AJMER,9am-10pm
3008,Rajasthan,FRESH,Mandore,JODHPUR,9am-10pm
3009,Rajasthan,FRESH,Beawar Road,AJMER,9am-10pm
3010,Rajasthan,FRESH,Kesarganj,AJMER,9am-10pm
3040,Rajasthan,FRESH,Brijlal Pura,JAIPUR,9am-10pm
3056,Rajasthan,FRESH,Kanta Kathuria,BIKANER,9am-10pm
3057,Rajasthan,FRESH,Pawanpuri,BIKANER,9am-10pm
3076,Rajasthan,FRESH,Rani Bazar,BIKANER,9am-10pm
3077,Rajasthan,FRESH,NasiradabadRoad,AJMER,9am-10pm
2031,Tamil Nadu,FRESH,Anna Nagar 8th rd,CHENNAI,9am-10pm
2032,Tamil Nadu,FRESH,Ashok Nagar,CHENNAI,9am-10pm
2033,Tamil Nadu,FRESH,Pursaiwakkam,CHENNAI,9am-10pm
2035,Tamil Nadu,FRESH,Adyar,CHENNAI,9am-10pm
2037,Tamil Nadu,FRESH,Natesan Nagar,CHENNAI,9am-10pm
2043,Tamil Nadu,FRESH,Anna Nagar 6th Avenue,CHENNAI,9am-10pm
2046,Tamil Nadu,FRESH,Madipakkam,CHENNAI,9am-10pm
2047,Tamil Nadu,FRESH,Porur,CHENNAI,9am-10pm
2049,Tamil Nadu,FRESH,Nanganalur,CHENNAI,9am-10pm
2051,Tamil Nadu,FRESH,LloydsRoad,CHENNAI,9am-10pm
2052,Tamil Nadu,FRESH,Cholaimedu,CHENNAI,9am-10pm
2165,Tamil Nadu,FRESH,Mogappair west JK Complex,CHENNAI,9am-10pm
2261,Tamil Nadu,FRESH,Puluthuvakkam,CHENNAI,9am-10pm
2264,Tamil Nadu,FRESH,Valsaravakkam - 2,CHENNAI,9am-10pm
2265,Tamil Nadu,FRESH,Saidapet,CHENNAI,9am-10pm
2381,Tamil Nadu,FRESH,NSR Road,COIMBATORE,9am-10pm
2421,Tamil Nadu,FRESH,"T nagar,North Usman Road",CHENNAI,9am-10pm
2576,Tamil Nadu,FRESH,Annanangar East,MADURAI,9am-10pm
